Narration,Date,Withdrawal,Deposit,Closing,Keyword
UPI MR LAVUDIYA NAVEEN N LAVUDYANAVEEN OKSBI IDIB H PAYM ENT FROM PHONE,01/02/2023,62.00,0.0,"3,64,685.33",UPI
UPI ZERODHA ZERODHABROKING YESBANK YESB Z,01/02/2023,"4,000.00",0.0,"3,60,685.33",ZERODHA
UPI NEXTBILLION TECHNOLO GROWW RAZORPAY HDFCBANK HDFC GROWW,01/02/2023,"4,000.00",0.0,"3,56,685.33",GROWW
UPI SIDDE SUVARNA ANIKEAKHILESH YBL SBIN PAYMENT FROM PHONE,01/02/2023,160.00,0.0,"3,56,525.33",UPI
UPI RATNADEEP SUPER MARK PAYTM PAYTM PYTM PAYMENT F ROM PHONE,01/02/2023,"2,353.17",0.0,"3,54,172.16",RATNADEEP
UPI ICCL ICCLMF YBL YESB YBLUPI COLLECT REQUEST FR,02/02/2023,100.00,0.0,"3,54,072.16",ICCLMF
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC PAYVIARAZOR PAY,02/02/2023,"3,000.00",0.0,"3,51,072.16",INDIANCLEARINGCORPOR
UPI KANCHARI LOKANADHAM AXL S BIN PAYMENT FROM PHO NE,02/02/2023,20.00,0.0,"3,51,052.16",UPI
UPI MUDAVATH AKASH YBL IBKL PAYMENT FROM PHONE,02/02/2023,106.00,0.00,"3,50,946.16",UPI
POS XXXXXX NPS TRUST,02/02/2023,"20,000.00",0.00,"3,30,946.16",NPS
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC PAY VIA RAZ ORPAY,02/02/2023,"12,000.00",0.00,"3,18,946.16",INDIANCLEARINGCORPOR
REV UPI PAYTM PAY VIA RAZORPAY,02/02/2023,0.00,"12,000.00","3,30,946.16",RAZORPAY
UPI ZERODHA ZERODHABROKING YESBANK YESB Z,03/02/2023,"2,000.00",0.00,"3,28,946.16",ZERODHA
UPI ZERODHA BROKING LTD ZERODHABROKING H DFCBANK HDFC Z,03/02/2023,"5,000.00",0.00,"3,23,946.16",ZERODHA
UPI ZERODHA ZERODHA RAZORPAY ICICI ICIC DC Z,03/02/2023,"5,000.00",0.00,"3,18,946.16",ZERODHA
UPI ZERODHA BROKING LTD ZERODHABROKING H DFCBANK HDFC Z,03/02/2023,"10,000.00",0.00,"3,08,946.16",ZERODHA
UPI ZERODHA BROKING LTD ZERODHABROKING H DFCBANK HDFC Z,03/02/2023,"10,000.00",0.00,"2,98,946.16",ZERODHA
UPI NEXTBILLION TECHNOLO GROWW RAZORPAY HDFCBANK HDFC GROWW,03/02/2023,"10,000.00",0.00,"2,88,946.16",GROWW
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC PAYVIARAZOR PAY,03/02/2023,"5,000.00",0.00,"2,83,946.16",INDIANCLEARINGCORPOR
UPI PVRCINEMAS PAYTM PVRCINEMAS PAYTM PY TM OIDHTHD,03/02/2023,"1,248.68",0.00,"2,82,697.48",PVRCINEMAS
UPI DARAPUNENI STORES AN PAYTMQR R XQ D CTFK PAYTM PYTM PAYMENT FROM PHONE,03/02/2023,190.00,0.00,"2,82,507.48",STORES
NEFT CR YESB ZERODHA BROKING LIMI TED NSE CLIENT BHEEMA ROHITH YESB,04/02/2023,0.00,"1,322.48","2,83,829.96",ZERODHA
UPI URBAN COMPANY PAYTM URBANCOMPANY PA TM PYTM PAYMENT FOR URBAN,04/02/2023,498.00,0.00,"2,83,331.96",URBANCOMPANY
UPI SAFE GOLD SAFEGOLD YBL YESB YBLUPI PAYMENT FROM PHONE,04/02/2023,"1,000.00",0.00,"2,82,331.96",SAFEGOLD
UPI MOHAMMED TAHER PAYTMQR R FHR G QFX PAYTM PYTM PAYMENT FROM PHONE,04/02/2023,200.00,0.00,"2,82,131.96",UPI
UPI KONANGI REVANTH AXL SBIN PAYMENT FROM PHONE,04/02/2023,"20,000.00",0.00,"2,62,131.96",UPI
NEFT CR YESB ZERODHA BROKING LIMI TED NSE CLIENT BHEEMA ROHITH YESB,04/02/2023,0.00,"32,000.00","2,94,131.96",ZERODHA
